"subject" "activity" "Variable" "Average"
1 "WALKING" "fbodyacc_mad_y" -0.395489776087032
1 "WALKING" "fbodyacc_mad_z" -0.558255546734006
1 "WALKING" "fbodyacc_max_x" -0.631256730338703
1 "WALKING" "fbodyacc_max_y" -0.546129048894525
1 "WALKING" "fbodyacc_max_z" -0.467373813193084
1 "WALKING" "fbodyacc_maxinds_x" -0.76201543014121
1 "WALKING" "fbodyacc_maxinds_y" -0.781556195391931
1 "WALKING" "fbodyacc_maxinds_z" -0.902904010596542
1 "WALKING" "fbodyacc_mean_x" -0.531895161258213
1 "WALKING" "fbodyacc_mean_y" -0.406435448904438
1 "WALKING" "fbodyacc_mean_z" -0.596411165253602
1 "WALKING" "fbodyacc_meanfreq_x" -0.180558714010749
1 "WALKING" "fbodyacc_meanfreq_y" 0.0576291646962536
1 "WALKING" "fbodyacc_meanfreq_z" 0.0583692776609798
1 "WALKING" "fbodyacc_min_x" -0.819904425735447
1 "WALKING" "fbodyacc_min_y" -0.840051304161383
1 "WALKING" "fbodyacc_min_z" -0.888354333573487
1 "WALKING" "fbodyacc_skewness_x" -0.188227152155043
1 "WALKING" "fbodyacc_skewness_y" -0.204360491241787
1 "WALKING" "fbodyacc_skewness_z" -0.182008402463977
1 "WALKING" "fbodyacc_sma" -0.445391557253458
1 "WALKING" "fbodyacc_std_x" -0.553060616663401
1 "WALKING" "fbodyacc_std_y" -0.390150939647061
1 "WALKING" "fbodyacc_std_z" -0.498583091676081
1 "WALKING" "fbodyaccjerk_bandsenergy_1_16...391" -0.865865436772334
1 "WALKING" "fbodyaccjerk_bandsenergy_1_16...405" -0.743403497665706
1 "WALKING" "fbodyaccjerk_bandsenergy_1_16...419" -0.912465633256484
1 "WALKING" "fbodyaccjerk_bandsenergy_1_24...395" -0.792582802190202
1 "WALKING" "fbodyaccjerk_bandsenergy_1_24...409" -0.720109873184438
1 "WALKING" "fbodyaccjerk_bandsenergy_1_24...423" -0.897580075936599
1 "WALKING" "fbodyaccjerk_bandsenergy_1_8...383" -0.869409177550432
1 "WALKING" "fbodyaccjerk_bandsenergy_1_8...397" -0.806098881729107
1 "WALKING" "fbodyaccjerk_bandsenergy_1_8...411" -0.919466206945245
1 "WALKING" "fbodyaccjerk_bandsenergy_17_24...385" -0.739543855798271
1 "WALKING" "fbodyaccjerk_bandsenergy_17_24...399" -0.788228143492795
1 "WALKING" "fbodyaccjerk_bandsenergy_17_24...413" -0.907119686743516
1 "WALKING" "fbodyaccjerk_bandsenergy_17_32...392" -0.718018186534582
1 "WALKING" "fbodyaccjerk_bandsenergy_17_32...406" -0.792523159435158
1 "WALKING" "fbodyaccjerk_bandsenergy_17_32...420" -0.927139595504323
1 "WALKING" "fbodyaccjerk_bandsenergy_25_32...386" -0.828785391608069
1 "WALKING" "fbodyaccjerk_bandsenergy_25_32...400" -0.887684958559078
1 "WALKING" "fbodyaccjerk_bandsenergy_25_32...414" -0.948008001902017
1 "WALKING" "fbodyaccjerk_bandsenergy_25_48...396" -0.803508846605187
1 "WALKING" "fbodyaccjerk_bandsenergy_25_48...410" -0.866710295129683
1 "WALKING" "fbodyaccjerk_bandsenergy_25_48...424" -0.950222492449568
1 "WALKING" "fbodyaccjerk_bandsenergy_33_40...387" -0.915196563487032
1 "WALKING" "fbodyaccjerk_bandsenergy_33_40...401" -0.883449496714697
1 "WALKING" "fbodyaccjerk_bandsenergy_33_40...415" -0.967365539596542
1 "WALKING" "fbodyaccjerk_bandsenergy_33_48...393" -0.895684929884726
1 "WALKING" "fbodyaccjerk_bandsenergy_33_48...407" -0.837200640489913
1 "WALKING" "fbodyaccjerk_bandsenergy_33_48...421" -0.95357994074928
1 "WALKING" "fbodyaccjerk_bandsenergy_41_48...388" -0.884905651544669
1 "WALKING" "fbodyaccjerk_bandsenergy_41_48...402" -0.840707004207493
1 "WALKING" "fbodyaccjerk_bandsenergy_41_48...416" -0.928963359020173
1 "WALKING" "fbodyaccjerk_bandsenergy_49_56...389" -0.926779434149856
1 "WALKING" "fbodyaccjerk_bandsenergy_49_56...403" -0.888625607867435
1 "WALKING" "fbodyaccjerk_bandsenergy_49_56...417" -0.913144506714697
1 "WALKING" "fbodyaccjerk_bandsenergy_49_64...394" -0.924904276599424
1 "WALKING" "fbodyaccjerk_bandsenergy_49_64...408" -0.898351017089337
1 "WALKING" "fbodyaccjerk_bandsenergy_49_64...422" -0.9137311529683
1 "WALKING" "fbodyaccjerk_bandsenergy_57_64...390" -0.98374139092219
1 "WALKING" "fbodyaccjerk_bandsenergy_57_64...404" -0.965687507694524
1 "WALKING" "fbodyaccjerk_bandsenergy_57_64...418" -0.966339182164265
1 "WALKING" "fbodyaccjerk_bandsenergy_9_16...384" -0.881776289654179
1 "WALKING" "fbodyaccjerk_bandsenergy_9_16...398" -0.767394890311239
1 "WALKING" "fbodyaccjerk_bandsenergy_9_16...412" -0.931078196311239
1 "WALKING" "fbodyaccjerk_energy_x" -0.795727147896254
1 "WALKING" "fbodyaccjerk_energy_y" -0.749135329308357
1 "WALKING" "fbodyaccjerk_energy_z" -0.92398068610951
1 "WALKING" "fbodyaccjerk_entropy_x" -0.0691524172910663
1 "WALKING" "fbodyaccjerk_entropy_y" -0.0721826976743516
1 "WALKING" "fbodyaccjerk_entropy_z" -0.227957389174209
1 "WALKING" "fbodyaccjerk_iqr_x" -0.503543498159827
1 "WALKING" "fbodyaccjerk_iqr_y" -0.628121561288184
1 "WALKING" "fbodyaccjerk_iqr_z" -0.728636237873199
1 "WALKING" "fbodyaccjerk_kurtosis_x" -0.734705563037464
1 "WALKING" "fbodyaccjerk_kurtosis_y" -0.787069953541787
1 "WALKING" "fbodyaccjerk_kurtosis_z" -0.804808248688761
1 "WALKING" "fbodyaccjerk_mad_x" -0.454185006429395
1 "WALKING" "fbodyaccjerk_mad_y" -0.492384849590084
1 "WALKING" "fbodyaccjerk_mad_z" -0.718431954291066
1 "WALKING" "fbodyaccjerk_max_x" -0.63449666293804
1 "WALKING" "fbodyaccjerk_max_y" -0.542341092089741
1 "WALKING" "fbodyaccjerk_max_z" -0.762341709423631
1 "WALKING" "fbodyaccjerk_maxinds_x" -0.336253602305476
1 "WALKING" "fbodyaccjerk_maxinds_y" -0.407953890489914
1 "WALKING" "fbodyaccjerk_maxinds_z" -0.300634005763689
1 "WALKING" "fbodyaccjerk_mean_x" -0.547348892435764
1 "WALKING" "fbodyaccjerk_mean_y" -0.507343617969859
1 "WALKING" "fbodyaccjerk_mean_z" -0.695305113832853
1 "WALKING" "fbodyaccjerk_meanfreq_x" -0.0488005965884726
1 "WALKING" "fbodyaccjerk_meanfreq_y" -0.21527915818415
1 "WALKING" "fbodyaccjerk_meanfreq_z" -0.0964496376997118
1 "WALKING" "fbodyaccjerk_min_x" -0.860692590403458
1 "WALKING" "fbodyaccjerk_min_y" -0.832411103916426
1 "WALKING" "fbodyaccjerk_min_z" -0.866418254409222
1 "WALKING" "fbodyaccjerk_skewness_x" -0.326030587783141
1 "WALKING" "fbodyaccjerk_skewness_y" -0.35407126228415
1 "WALKING" "fbodyaccjerk_skewness_z" -0.461062521172911
1 "WALKING" "fbodyaccjerk_sma" -0.510258518072622
1 "WALKING" "fbodyaccjerk_std_x" -0.543979776127867
1 "WALKING" "fbodyaccjerk_std_y" -0.466251676533372
1 "WALKING" "fbodyaccjerk_std_z" -0.737861932680115
1 "WALKING" "fbodyaccmag_energy" -0.789963748731988
1 "WALKING" "fbodyaccmag_entropy" -0.0422134608270893
1 "WALKING" "fbodyaccmag_iqr" -0.627701459778098
1 "WALKING" "fbodyaccmag_kurtosis" -0.688715625787608
1 "WALKING" "fbodyaccmag_mad" -0.510312610176945
1 "WALKING" "fbodyaccmag_max" -0.711653384633141
1 "WALKING" "fbodyaccmag_maxinds" -0.738249031040346
1 "WALKING" "fbodyaccmag_mean" -0.478448523354179
1 "WALKING" "fbodyaccmag_meanfreq" 0.142062162506138
1 "WALKING" "fbodyaccmag_min" -0.84658397989049
1 "WALKING" "fbodyaccmag_skewness" -0.419852460748703
1 "WALKING" "fbodyaccmag_sma" -0.478448523354179
1 "WALKING" "fbodyaccmag_std" -0.589710231217867
1 "WALKING" "fbodybodyaccjerkmag_energy" -0.785989455965418
1 "WALKING" "fbodybodyaccjerkmag_entropy" -0.166896923014409
1 "WALKING" "fbodybodyaccjerkmag_iqr" -0.575736145472623
1 "WALKING" "fbodybodyaccjerkmag_kurtosis" -0.637882103117867
1 "WALKING" "fbodybodyaccjerkmag_mad" -0.498714609539481
1 "WALKING" "fbodybodyaccjerkmag_max" -0.611392576671239
1 "WALKING" "fbodybodyaccjerkmag_maxinds" -0.870820179994236
1 "WALKING" "fbodybodyaccjerkmag_mean" -0.499075765624092
1 "WALKING" "fbodybodyaccjerkmag_meanfreq" 0.200055179527839
1 "WALKING" "fbodybodyaccjerkmag_min" -0.727620514094236
1 "WALKING" "fbodybodyaccjerkmag_skewness" -0.319888971925965
1 "WALKING" "fbodybodyaccjerkmag_sma" -0.499075765624092
1 "WALKING" "fbodybodyaccjerkmag_std" -0.541823079570029
1 "WALKING" "fbodybodygyrojerkmag_energy" -0.888647207723343
1 "WALKING" "fbodybodygyrojerkmag_entropy" -0.0880270361959654
1 "WALKING" "fbodybodygyrojerkmag_iqr" -0.634812134697406
1 "WALKING" "fbodybodygyrojerkmag_kurtosis" -0.656185264925072
1 "WALKING" "fbodybodygyrojerkmag_mad" -0.649682311060519
1 "WALKING" "fbodybodygyrojerkmag_max" -0.714590749455331
1 "WALKING" "fbodybodygyrojerkmag_maxinds" -0.885549607172911
1 "WALKING" "fbodybodygyrojerkmag_mean" -0.645970655298847
1 "WALKING" "fbodybodygyrojerkmag_meanfreq" 0.198031580056455
1 "WALKING" "fbodybodygyrojerkmag_min" -0.783030671299712
1 "WALKING" "fbodybodygyrojerkmag_skewness" -0.346915560054265
1 "WALKING" "fbodybodygyrojerkmag_sma" -0.645970655298847
1 "WALKING" "fbodybodygyrojerkmag_std" -0.685811262634006
1 "WALKING" "fbodybodygyromag_energy" -0.794911215400576
1 "WALKING" "fbodybodygyromag_entropy" 0.0782256321585014
1 "WALKING" "fbodybodygyromag_iqr" -0.585177980261427
1 "WALKING" "fbodybodygyromag_kurtosis" -0.506323319276945
1 "WALKING" "fbodybodygyromag_mad" -0.542978060682709
1 "WALKING" "fbodybodygyromag_max" -0.593439908585014
1 "WALKING" "fbodybodygyromag_maxinds" -0.874381142853026
1 "WALKING" "fbodybodygyromag_mean" -0.535002770337752
1 "WALKING" "fbodybodygyromag_meanfreq" 0.0649309438160231
1 "WALKING" "fbodybodygyromag_min" -0.801008618579251
1 "WALKING" "fbodybodygyromag_skewness" -0.205848254997406
1 "WALKING" "fbodybodygyromag_sma" -0.535002770337752
1 "WALKING" "fbodybodygyromag_std" -0.566576670397695
1 "WALKING" "fbodygyro_bandsenergy_1_16...470" -0.919852002363112
1 "WALKING" "fbodygyro_bandsenergy_1_16...484" -0.75381596443804
1 "WALKING" "fbodygyro_bandsenergy_1_16...498" -0.876925117550432
1 "WALKING" "fbodygyro_bandsenergy_1_24...474" -0.914862845533141
1 "WALKING" "fbodygyro_bandsenergy_1_24...488" -0.729767878126801
1 "WALKING" "fbodygyro_bandsenergy_1_24...502" -0.866944157896254
1 "WALKING" "fbodygyro_bandsenergy_1_8...462" -0.94572860795389
1 "WALKING" "fbodygyro_bandsenergy_1_8...476" -0.67345454518732
1 "WALKING" "fbodygyro_bandsenergy_1_8...490" -0.900840065216138
1 "WALKING" "fbodygyro_bandsenergy_17_24...464" -0.883406175677233
1 "WALKING" "fbodygyro_bandsenergy_17_24...478" -0.913269432824207
1 "WALKING" "fbodygyro_bandsenergy_17_24...492" -0.921397488386167
1 "WALKING" "fbodygyro_bandsenergy_17_32...471" -0.894038739682997
1 "WALKING" "fbodygyro_bandsenergy_17_32...485" -0.894016472939481
1 "WALKING" "fbodygyro_bandsenergy_17_32...499" -0.904736555360231
1 "WALKING" "fbodygyro_bandsenergy_25_32...465" -0.970142079740634
1 "WALKING" "fbodygyro_bandsenergy_25_32...479" -0.91792652556196
1 "WALKING" "fbodygyro_bandsenergy_25_32...493" -0.958040033573487
1 "WALKING" "fbodygyro_bandsenergy_25_48...475" -0.964923538645533
1 "WALKING" "fbodygyro_bandsenergy_25_48...489" -0.916934317002882
1 "WALKING" "fbodygyro_bandsenergy_25_48...503" -0.956784694409222
1 "WALKING" "fbodygyro_bandsenergy_33_40...466" -0.960788202766571
1 "WALKING" "fbodygyro_bandsenergy_33_40...480" -0.94431942962536
1 "WALKING" "fbodygyro_bandsenergy_33_40...494" -0.956482233746398
1 "WALKING" "fbodygyro_bandsenergy_33_48...472" -0.953190533832853
1 "WALKING" "fbodygyro_bandsenergy_33_48...486" -0.935054841757925
1 "WALKING" "fbodygyro_bandsenergy_33_48...500" -0.953988159884726
1 "WALKING" "fbodygyro_bandsenergy_41_48...467" -0.951810481037464
1 "WALKING" "fbodygyro_bandsenergy_41_48...481" -0.901976797867435
1 "WALKING" "fbodygyro_bandsenergy_41_48...495" -0.947778306628242
1 "WALKING" "fbodygyro_bandsenergy_49_56...468" -0.960633848242075
1 "WALKING" "fbodygyro_bandsenergy_49_56...482" -0.897317935201729
1 "WALKING" "fbodygyro_bandsenergy_49_56...496" -0.944927079365994
1 "WALKING" "fbodygyro_bandsenergy_49_64...473" -0.965580178357349
1 "WALKING" "fbodygyro_bandsenergy_49_64...487" -0.90546835648415
1 "WALKING" "fbodygyro_bandsenergy_49_64...501" -0.95563135648415
1 "WALKING" "fbodygyro_bandsenergy_57_64...469" -0.971812364149856
1 "WALKING" "fbodygyro_bandsenergy_57_64...483" -0.948376111354467
1 "WALKING" "fbodygyro_bandsenergy_57_64...497" -0.969547360432277
1 "WALKING" "fbodygyro_bandsenergy_9_16...463" -0.801041510461095
1 "WALKING" "fbodygyro_bandsenergy_9_16...477" -0.959544963804035
1 "WALKING" "fbodygyro_bandsenergy_9_16...491" -0.914212173198847
1 "WALKING" "fbodygyro_energy_x" -0.913811829596542
1 "WALKING" "fbodygyro_energy_y" -0.742539206628242
1 "WALKING" "fbodygyro_energy_z" -0.862594537348703
1 "WALKING" "fbodygyro_entropy_x" -0.00877406614985591
1 "WALKING" "fbodygyro_entropy_y" 0.0868198243775216
1 "WALKING" "fbodygyro_entropy_z" 0.00669242187896253
1 "WALKING" "fbodygyro_iqr_x" -0.643724651731441
1 "WALKING" "fbodygyro_iqr_y" -0.589042016491066
1 "WALKING" "fbodygyro_iqr_z" -0.603630684015303
1 "WALKING" "fbodygyro_kurtosis_x" -0.514354856078674
1 "WALKING" "fbodygyro_kurtosis_y" -0.455350742127666
1 "WALKING" "fbodygyro_kurtosis_z" -0.581864694924207
1 "WALKING" "fbodygyro_mad_x" -0.63913522915562
1 "WALKING" "fbodygyro_mad_y" -0.525038215927378
1 "WALKING" "fbodygyro_mad_z" -0.565258592326801
1 "WALKING" "fbodygyro_max_x" -0.710144431397406
1 "WALKING" "fbodygyro_max_y" -0.502127388067435
1 "WALKING" "fbodygyro_max_z" -0.754850427867435
1 "WALKING" "fbodygyro_maxinds_x" -0.750624399207493
1 "WALKING" "fbodygyro_maxinds_y" -0.866319605711816
1 "WALKING" "fbodygyro_maxinds_z" -0.814369472556196
1 "WALKING" "fbodygyro_mean_x" -0.623219182311527
1 "WALKING" "fbodygyro_mean_y" -0.505309434070029
1 "WALKING" "fbodygyro_mean_z" -0.553529065425648
1 "WALKING" "fbodygyro_meanfreq_x" -0.0320324102759078
1 "WALKING" "fbodygyro_meanfreq_y" -0.0901517235974063
1 "WALKING" "fbodygyro_meanfreq_z" -0.0180063943472334
1 "WALKING" "fbodygyro_min_x" -0.920810495417867
1 "WALKING" "fbodygyro_min_y" -0.834335572775216
1 "WALKING" "fbodygyro_min_z" -0.883244297867435
1 "WALKING" "fbodygyro_skewness_x" -0.206139497907205
1 "WALKING" "fbodygyro_skewness_y" -0.115966843406052
1 "WALKING" "fbodygyro_skewness_z" -0.25870197963464
1 "WALKING" "fbodygyro_sma" -0.528333577495389
1 "WALKING" "fbodygyro_std_x" -0.708263420861671
1 "WALKING" "fbodygyro_std_y" -0.429825832648703
1 "WALKING" "fbodygyro_std_z" -0.650476162132565
1 "WALKING" "from" NA
1 "WALKING" "tbodyacc_arcoeff_x_1" -0.155288480178098
1 "WALKING" "tbodyacc_arcoeff_x_2" 0.184760549945187
1 "WALKING" "tbodyacc_arcoeff_x_3" -0.102987500446311
1 "WALKING" "tbodyacc_arcoeff_x_4" 0.114308211720461
1 "WALKING" "tbodyacc_arcoeff_y_1" -0.0364532959878963
1 "WALKING" "tbodyacc_arcoeff_y_2" 0.0507943075201153
1 "WALKING" "tbodyacc_arcoeff_y_3" 0.144962177056196
1 "WALKING" "tbodyacc_arcoeff_y_4" -0.0198872924841499
1 "WALKING" "tbodyacc_arcoeff_z_1" 0.015159402087464
1 "WALKING" "tbodyacc_arcoeff_z_2" 0.0522041628935735
1 "WALKING" "tbodyacc_arcoeff_z_3" 0.021503545715072
1 "WALKING" "tbodyacc_arcoeff_z_4" -0.132982874432248
1 "WALKING" "tbodyacc_correlation_x_y" -0.203503298779781
1 "WALKING" "tbodyacc_correlation_x_z" -0.140663320581729
1 "WALKING" "tbodyacc_correlation_y_z" 0.196151041060519
1 "WALKING" "tbodyacc_energy_x" -0.817833275504323
1 "WALKING" "tbodyacc_energy_y" -0.868582888263401
1 "WALKING" "tbodyacc_energy_z" -0.810084107060519
1 "WALKING" "tbodyacc_entropy_x" -0.0365021560682997
1 "WALKING" "tbodyacc_entropy_y" 0.0119978297463977
1 "WALKING" "tbodyacc_entropy_z" -0.183984055858386
1 "WALKING" "tbodyacc_iqr_x" -0.644456855585014
1 "WALKING" "tbodyacc_iqr_y" -0.568967356373228
1 "WALKING" "tbodyacc_iqr_z" -0.482946202789625
1 "WALKING" "tbodyacc_mad_x" -0.580162894375792
1 "WALKING" "tbodyacc_mad_y" -0.391228161564121
1 "WALKING" "tbodyacc_mad_z" -0.488074652257637
1 "WALKING" "tbodyacc_max_x" -0.39732624422928
1 "WALKING" "tbodyacc_max_y" -0.272417234574121
1 "WALKING" "tbodyacc_max_z" -0.471025510180922
1 "WALKING" "tbodyacc_mean_x" 0.265696920582133
1 "WALKING" "tbodyacc_mean_y" -0.0182981725176081
1 "WALKING" "tbodyacc_mean_z" -0.10784573454611
1 "WALKING" "tbodyacc_min_x" 0.419189414523343
1 "WALKING" "tbodyacc_min_y" 0.291387598243516
1 "WALKING" "tbodyacc_min_z" 0.57869983345245
1 "WALKING" "tbodyacc_sma" -0.447862824369741
1 "WALKING" "tbodyacc_std_x" -0.545795331328326
1 "WALKING" "tbodyacc_std_y" -0.367716218227378
1 "WALKING" "tbodyacc_std_z" -0.502645746562824
1 "WALKING" "tbodyaccjerk_arcoeff_x_1" -0.132740067365418
1 "WALKING" "tbodyaccjerk_arcoeff_x_2" 0.226547344503746
1 "WALKING" "tbodyaccjerk_arcoeff_x_3" 0.129597891243804
1 "WALKING" "tbodyaccjerk_arcoeff_x_4" 0.0278207283182421
1 "WALKING" "tbodyaccjerk_arcoeff_y_1" -0.0870700841590778
1 "WALKING" "tbodyaccjerk_arcoeff_y_2" 0.107866768265793
1 "WALKING" "tbodyaccjerk_arcoeff_y_3" 0.163197236333141
1 "WALKING" "tbodyaccjerk_arcoeff_y_4" 0.344590284904323
1 "WALKING" "tbodyaccjerk_arcoeff_z_1" 0.00566810250172911
1 "WALKING" "tbodyaccjerk_arcoeff_z_2" 0.109064070293026
1 "WALKING" "tbodyaccjerk_arcoeff_z_3" 0.0765597103063401
1 "WALKING" "tbodyaccjerk_arcoeff_z_4" 0.0497364928167147
1 "WALKING" "tbodyaccjerk_correlation_x_y" -0.181411610566859
1 "WALKING" "tbodyaccjerk_correlation_x_z" -0.108980031707493
1 "WALKING" "tbodyaccjerk_correlation_y_z" 0.208920598589625
1 "WALKING" "tbodyaccjerk_energy_x" -0.79597734129683
1 "WALKING" "tbodyaccjerk_energy_y" -0.749014797492795
1 "WALKING" "tbodyaccjerk_energy_z" -0.923946007867435
1 "WALKING" "tbodyaccjerk_entropy_x" 0.050126515221902
1 "WALKING" "tbodyaccjerk_entropy_y" 0.0368494277933718
1 "WALKING" "tbodyaccjerk_entropy_z" -0.0140818229606628
1 "WALKING" "tbodyaccjerk_iqr_x" -0.496323670087579
1 "WALKING" "tbodyaccjerk_iqr_y" -0.557268486848703
1 "WALKING" "tbodyaccjerk_iqr_z" -0.696303492997118
1 "WALKING" "tbodyaccjerk_mad_x" -0.518381597802306
1 "WALKING" "tbodyaccjerk_mad_y" -0.457973700434207
1 "WALKING" "tbodyaccjerk_mad_z" -0.699552046080692
1 "WALKING" "tbodyaccjerk_max_x" -0.62058886407781
1 "WALKING" "tbodyaccjerk_max_y" -0.659588345855908
1 "WALKING" "tbodyaccjerk_max_z" -0.799386916801153
1 "WALKING" "tbodyaccjerk_mean_x" 0.0770930495126801
1 "WALKING" "tbodyaccjerk_mean_y" 0.0165908438802305
1 "WALKING" "tbodyaccjerk_mean_z" -0.00910758730117003
1 "WALKING" "tbodyaccjerk_min_x" 0.45229857908415
1 "WALKING" "tbodyaccjerk_min_y" 0.559417589150432
1 "WALKING" "tbodyaccjerk_min_z" 0.69367453389049
1 "WALKING" "tbodyaccjerk_sma" -0.538169912672046
1 "WALKING" "tbodyaccjerk_std_x" -0.524721922818732
1 "WALKING" "tbodyaccjerk_std_y" -0.470412403511239
1 "WALKING" "tbodyaccjerk_std_z" -0.717322274881844
1 "WALKING" "tbodyaccjerkmag_arcoeff1" 0.124725069029971
1 "WALKING" "tbodyaccjerkmag_arcoeff2" -0.0878022571066282
1 "WALKING" "tbodyaccjerkmag_arcoeff3" -0.14103595711415
1 "WALKING" "tbodyaccjerkmag_arcoeff4" 0.0359250982402594
1 "WALKING" "tbodyaccjerkmag_energy" -0.800918294524496
1 "WALKING" "tbodyaccjerkmag_entropy" 0.0842013328040346
1 "WALKING" "tbodyaccjerkmag_iqr" -0.614675867421902
1 "WALKING" "tbodyaccjerkmag_mad" -0.543385370018156
1 "WALKING" "tbodyaccjerkmag_max" -0.525482160665706
1 "WALKING" "tbodyaccjerkmag_mean" -0.545431612066571
1 "WALKING" "tbodyaccjerkmag_min" -0.719663017608069
1 "WALKING" "tbodyaccjerkmag_sma" -0.545431612066571
1 "WALKING" "tbodyaccjerkmag_std" -0.515922167555159
1 "WALKING" "tbodyaccmag_arcoeff1" 0.0107480955951009
1 "WALKING" "tbodyaccmag_arcoeff2" -0.0445568387524496
1 "WALKING" "tbodyaccmag_arcoeff3" 0.0854444841365706
1 "WALKING" "tbodyaccmag_arcoeff4" -0.0491918153835735
1 "WALKING" "tbodyaccmag_energy" -0.741394643746398
1 "WALKING" "tbodyaccmag_entropy" 0.249771373567723
1 "WALKING" "tbodyaccmag_iqr" -0.603153353097983
1 "WALKING" "tbodyaccmag_mad" -0.547872550685879
1 "WALKING" "tbodyaccmag_max" -0.482052285306628
1 "WALKING" "tbodyaccmag_mean" -0.453632943768818
1 "WALKING" "tbodyaccmag_min" -0.833674419942363
1 "WALKING" "tbodyaccmag_sma" -0.453632943768818
1 "WALKING" "tbodyaccmag_std" -0.497096402038329
